airport-id,airport-name,latitude,longitude
AAA,Anaa,-17.3542,-145.4961
AAC,EL-ARISH,31.0733,33.8358
AAE,Annaba                                  ,36.8222,7.8094
AAF,APALACHICOLA MUNI AIRPORT,29.7275,-85.0274
AAG,ARAPOTI,-24.1036,-49.79
AAL,Aalborg Airport,57.0928,9.8492
AAM,Mala Mala,-24.8181,31.5446
AAN,Al Ain                                  ,24.2617,55.6092
AAQ,Anapa,45.0017,37.3483
AAR,Aarhus Tirstrup Airport,56.3,10.619
AAT,Altay,47.72,88.15
AAX,Araxa                                   ,-19.5603,-46.9653
AAY,Al Ghaydah                              ,16.1917,52.175
ABA,Abakan,53.7417,91.385
ABB,Asaba                                   ,6.1978,6.7285
ABC,Albacete,38.948,-1.863
ABD,Abadan,30.3667,48.2333
ABE,Allentown/Bethlehem/Easton,40.6521,-75.4408
ABH,ALPHA,-23.6583,146.5917
ABI,Abilene Regional Apt,32.4113,-99.6819
ABJ,Abidjan,5.2544,-3.9286
ABK,Kebri Dehar,6.734,44.253
ABL,Ambler,67.1063,-157.8575
ABM,Bamaga                                  ,-10.95,142.46
ABQ,Albuquerque,35.0402,-106.6092
ABR,Aberdeen,45.449,-98.4218
ABS,Abu Simbel                              ,22.3758,31.6117
ABT,Al Baha                                 ,20.2961,41.6342
ABV,Abuja,9.0069,7.2631
ABX,Albury,-36.0689,146.9564
ABY,Albany Dougherty County Apt,31.5369,-84.1945
ABZ,Aberdeen,57.2019,-2.1978
ACA,Acapulco,16.7571,-99.7538
ACC,Accra,5.5964,-0.17
ACE,Lanzarote,28.9455,-13.6052
ACH,Altenrhein,47.485,9.5619
ACI,Alderney,49.7061,-2.2147
ACK,Nantucket,41.2531,-70.0602
ACP,Maragheh                                ,37.7333,46.45
ACR,Araracuara,0.6007,-72.398
ACT,Waco Municipal Apt,31.6113,-97.2305
ACU,Achutupo,9.183,-78.017
ACV,Arcata/Eureka,40.9781,-124.1086
ACX,Xingyi,25.05,104.9833
ACY,Atlantic City International,39.4576,-74.5772
ACZ,Zabol,31.0983,61.5439
ADA,Adana                                   ,36.9825,35.2831
ADB,Izmir Adnan Menderes Apt                ,38.2892,27.155
ADD,Addis Ababa,8.975,38.7994
ADE,Aden,12.8289,45.0297
ADF,Adiyaman                                ,37.7308,38.4689
ADH,ALDAN,58.6,125.4
ADJ,AMMAN MARKA INTL,31.9727,35.9916
ADK,Adak Island,51.878,-176.646
ADL,Adelaide International,-34.945,138.53
ADP,ANURADHAPURA,8.3,80.4767
ADQ,Kodiak Apt,57.75,-152.4939
ADS,DALLAS/ADDISON,32.9697,-96.8386
ADU,Ardabil                                 ,38.3267,48.4242
ADW,ANDREWS AFB,38.8108,-76.867
ADX,LEUCHARS,56.3733,-2.8683
ADZ,San Andres Island,12.5836,-81.7108
AEB,Baise,23.72,106.96
AEG,Aek Godang,1.4001,99.4305
AEH,ABECHE,13.8472,20.8488
AEO,AIOUN-EL-ATROUSS,16.7167,-9.6333
AEP,Buenos Aires Aeroparque J. Newbery,-34.5589,-58.4164
AER,Sochi                                   ,43.445,39.9483
AES,Alesund,62.5625,6.1197
AET,Allakaket,66.5518,-152.6222
AEX,Alexandria International Apt,31.3274,-92.5486
AEY,Akureyri,65.6586,-18.0722
AFA,San Rafael,-34.5883,-68.4033
AFB,PAYERNE AFB,46.8433,6.9167
AFL,Alta Floresta,-9.8661,-56.1044
AFS,Zarafshan,41.6133,64.2328
AFT,Afutara,-9.1911,160.9492
AFW,FORT WORTH ALLIANCE,32.9876,-97.3188
AFY,AFYON,38.7339,30.5953
AFZ,Sabzevar                                ,36.1681,57.5953
AGA,Agadir,30.325,-9.4131
AGB,Munich Augsburg Apt,48.4252,10.9318
AGC,PITTSBURH/ALLEGHENY CO,40.3544,-79.9302
AGF,Agen,44.1747,0.5906
AGH,Angelholm/Helsingborg Angelholm Apt,56.2911,12.855
AGL,  Wanigela,-9.333,149.15
AGM,Tasiilaq,65.6122,-37.6183
AGN,Angoon,57.5036,-134.5851
AGP,Malaga                                  ,36.675,-4.4992
AGQ,AGRINION,38.602,21.3512
AGR,Agra,27.15,77.95
AGS,Augusta Bush Field,33.3367,-81.9645
AGT,Ciudad del Este                         ,-25.4558,-54.8437
AGU,Aguascalientes                          ,21.7047,-102.3175
AGV,ACARIGUA,9.55,-69.2333
AGX,Agatti Island,10.8237,72.176
AGZ,AGGENEYS,-29.2792,18.8175
AHB,Abha,18.2404,42.6565
AHE,Ahe,-14.4278,-146.255
AHN,Athens,33.9486,-83.3263
AHO,Alghero,40.6322,8.2894
AHS,  Ahu�s,15.4722,-84.3522
AHU,Al Hoceima,35.1806,-3.8317
AIA,Alliance,42.0532,-102.8037
AIC,XXX,7.1,171.2333
AID,ANDERSON MUN DARLINGTON FLD,40.1087,-85.613
AIF,ASSIS,-22.6394,-50.4525
AIM,XXX,10.2,169.9833
AIN,Wainwright,70.638,-159.9948
AIR,Aripuana Airport,-10.25,-59.3833
AIT,Aitutaki Island,-18.8309,-159.7642
AIU,Atiu Island                             ,-19.9678,-158.1192
AJA,Ajaccio,41.9239,8.8025
AJF,Jouf                                    ,29.7852,40.0996
AJI,Agri                                    ,39.6627,43.0232
AJL,Aizawl,23.7333,92.8
AJN,  Anjouan,-12.1317,44.4303
AJR,Arvidsjaur,65.5903,19.2819
AJU,Aracaju,-10.9853,-37.0733
AJY,Agadez,16.9622,7.9903
AKA,  Ankang,32.7081,108.9314
AKB,Atka                                    ,52.2203,-174.2063
AKC,AKRON,41.0375,-81.4669
AKD,AKOLA,20.6978,77.0589
AKF,Kufra,24.1767,23.315
AKH,GASTONIA MUNI,35.2026,-81.1498
AKI,Akiak                                   ,60.9029,-161.2306
AKJ,Asahikawa                               ,43.6707,142.4475
AKK,Akhiok,56.9387,-154.1826
AKL,Auckland International Apt,-37.0081,174.7917
AKN,King Salmon,58.6768,-156.6492
AKP,Anaktuvuk Pass                          ,68.1336,-151.7433
AKR,AKURE,7.25,5.3042
AKS,Auki,-8.6978,160.6808
AKT,AKROTIRI,34.5903,32.9878
AKU,Aksu,41.2625,80.2917
AKV,Akulivik,60.8186,-78.1486
AKX,Aktobe,50.2458,57.2067
AKY,Sittwe                                  ,20.1329,92.876
ALA,Almaty,43.3519,77.0406
ALB,Albany International Airport,42.7483,-73.8017
ALC,Alicante,38.2822,-0.5582
ALF,Alta                                    ,69.9761,23.3717
ALG,Algiers,36.6944,3.2169
ALH,Albany,-34.9433,117.8083
ALI,ALICE INTL,27.7417,-98.0267
ALJ,ALEXANDER BAY,-28.5733,16.535
ALL,ALBENGA,44.0467,8.1264
ALM,  Alamogordo,32.8399,-105.9906
ALN,ALTON/ST. LOUIS REGIONAL,38.89,-90.0467
ALO,Waterloo,42.5572,-92.4033
ALP,Aleppo                                  ,36.1797,37.2261
ALR,ALEXANDRA,-45.2117,169.3733
ALS,Alamosa,37.4349,-105.8666
ALW,Walla Walla,46.0946,-118.2879
ALY,ALEXANDRIA INTL,31.1817,29.9464
ALZ,Alitak,56.8958,-154.2458
AMA,Amarillo International Apt,35.2194,-101.7059
AMD,Ahmedabad,23.0712,72.6264
AMH,Arba Minch,6.0394,37.5905
AMI,MATARAM/SELAPARANG,-8.562,116.0994
AMJ,ALMENARA,-16.1833,-40.6667
AMM,Amman Queen Alia International Apt      ,31.7226,35.9932
AMQ,Ambon,-3.707,128.0897
AMS,Amsterdam,52.3081,4.7642
AMV,AMDERMA,69.7633,61.5633
AMY,  Ambatomainty,-17.683,45.617
AMZ,ARDMORE,-37.0297,174.9733
ANB,ANNISTON METROPOLITAN,33.5881,-85.8581
ANC,Anchorage International Apt,61.1744,-149.9964
AND,ANDERSON,34.495,-82.7097
ANE,Angers Marce Airport,47.5603,-0.3122
ANF,Antofagasta,-23.4444,-70.445
ANG,ANGOULEME/ BRIE CHAMPNIERS,45.7294,0.2192
ANI,Aniak,61.5816,-159.543
ANJ,SAULT STE MARIE MUNI/SANDERSON,46.4792,-84.3684
ANK,ANKARA/ETIMESGUT,39.9575,32.6744
ANM,Antalaha,-14.9994,50.3202
ANN,ANNETTE ISLAND,55.0425,-131.5722
ANO,ANGOCHE,-16.1833,39.9333
ANR,Antwerp                                 ,51.1894,4.4603
ANS,Andahuaylas,-13.7042,-73.3481
ANU,Antigua                                 ,17.1367,-61.7928
ANV,Anvik                                   ,62.6467,-160.1907
ANW,AINSWORTH,42.58,-99.9933
ANX,Andenes                                 ,69.2925,16.1442
AOC,ALTENBURG-NOBITZ,50.9818,12.5064
AOE,Eskisehir,39.8117,30.5286
AOG,  Anshan,41.1053,122.8539
AOI,Ancona,43.6167,13.3603
AOJ,Aomori                                  ,40.7347,140.6908
AOK,Karpathos,35.4167,27.15
AOL,PASO DE LOS LIBRES,-29.6881,-57.1522
AOO,Altoona,40.2964,-78.32
AOQ,Aappilattoq,72.8869,-55.5961
AOR,Alor Setar,6.1944,100.4008
AOS,Amook,57.4667,-153.8333
AOT,AOSTA,45.7386,7.3681
AOU,ATTOPEU,14.8,106.8167
AOX,YUBILEYNYI/BAJKONUR,46.0525,63.2492
APA,DENVER/ARAPAHOE/CENTENNIAL,39.5701,-104.8493
APC,NAPA CO,38.2131,-122.2806
APF,Naples,26.1526,-81.7753
APG,PHILLIPS AAF (ABERDEEN PG),39.4662,-76.1688
API,GOMEZ NINO APIAY AB,4.0761,-73.5627
APK,Apataki                                 ,-15.5736,-146.4153
APL,Nampula                                 ,-15.1,39.2833
APN,Alpena,45.0781,-83.5603
APO,Apartado,7.033,-77.2
APS,ANAPOLIS,-16.3619,-48.9275
APU,APUCARANA,-23.6117,-51.3844
APV,APPLE VALLEY,34.5753,-117.1862
APW,Apia Faleolo Apt,-13.8297,-171.9972
APX,ARAPONGAS,-23.3625,-51.4792
AQA,ARARAQUARA,-21.8039,-48.1397
AQG,Anqing,30.5822,117.0503
AQI,Qaisumah                                ,28.3352,46.1249
AQJ,Aqaba                                   ,29.6116,35.0181
AQP,Arequipa,-16.3403,-71.5728
ARA,NEW IBERIA/ACADIANA RGNL,30.0378,-91.8839
ARC,Arctic Village,68.1147,-145.5794
ARH,Arkhangelsk,64.6,40.7183
ARI,Arica,-18.3486,-70.3386
ARK,Arusha,-3.3678,36.6333
ARM,Armidale,-30.53,151.6175
ARN,Stockholm Arlanda Apt,59.6519,17.9186
ARS,ARAGARCAS,-15.8989,-52.2403
ART,Watertown,43.9919,-76.0217
ARU,Aracatuba                               ,-21.1436,-50.4258
ARV,  Minocqua-Woodruff,45.9279,-89.7309
ARW,Arad,46.1765,21.262
ARY,ARARAT,-37.3119,142.9906
ASA,ASSAB,13.0667,42.6333
ASB,Ashgabat                                ,37.9917,58.3633
ASD,  Andros Town,24.6983,-77.7956
ASE,Aspen,39.2232,-106.8688
ASF,Astrakhan,46.2833,48.0083
ASI,ASCENSION AUX AB WIDEAWAKE,-7.97,-14.3933
ASJ,Amami O Shima,28.4308,129.7126
ASK,YAMOUSSOUKRO,6.9061,-5.3626
ASM,Asmara,15.2842,38.9
ASO,Asosa,10.0185,34.5863
ASP,Alice Springs Airport,-23.8067,133.9017
ASR,Kayseri,38.7703,35.4953
AST,ASTORIA,44.8373,-117.8075
ASU,Asuncion,-25.2411,-57.5168
ASV,Amboseli,-2.633,37.25
ASW,Aswan                                   ,23.9644,32.82
ATA,Anta                                    ,-9.3436,-77.5958
ATB,ATBARA,17.7097,34.0574
ATC,Arthurs Town Airport,24.67,-75.75
ATD,Atoifi                                  ,-8.8733,161.0114
ATF,AMBATO/CHACHOAN,-1.2119,-78.5747
ATH,Athens                                  ,37.9367,23.9445
ATK,Atqasuk,70.4673,-157.4357
ATL,Atlanta Hartsfield-Jackson Intl Apt,33.6367,-84.4281
ATM,Altamira,-3.2506,-52.2517
ATN,  Namatanai,-3.667,152.433
ATQ,Amritsar,31.7044,74.8021
ATR,ATAR,20.5008,-13.0467
ATT,Atmautluak,60.8667,-162.2731
ATW,Appleton,44.2581,-88.5191
ATY,Watertown,44.914,-97.1547
ATZ,Asyut                                   ,27.0464,31.0119
AUA,Aruba                                   ,12.5014,-70.0152
AUC,Arauca,7.0689,-70.7369
AUF,AUXERRE/BRANCHES,47.8464,3.4967
AUG,Augusta                                 ,44.32,-69.7967
AUH,Abu Dhabi International Apt,24.4367,54.6508
AUK,Alakanuk,62.68,-164.6599
AUL,XXX,8.1333,171.1667
AUQ,Hiva Oa,-9.7667,-139.0167
AUR,Aurillac,44.8975,2.4167
AUS,Austin-Bergstrom International Apt      ,30.195,-97.67
AUU,Aurukun,-13.3539,141.7208
AUW,WAUSAU DOWNTOWN,44.9285,-89.6266
AUX,Araguaina,-7.2281,-48.2403
AUY,Aneityum,-20.2492,169.7714
AVA,Anshun,26.2606,105.8731
AVB,AVIANO,45.925,12.4292
AVI,CIEGO DE AVILA MAXIMO GOMEZ,22.0269,-78.7894
AVL,Asheville,35.4367,-82.5417
AVN,Avignon Caumont Airport                 ,43.9067,4.9019
AVP,Wilkes-Barre Scranton International Apt,41.3384,-75.7234
AVR,ALVERCA-DGMFA,38.8855,-9.0281
AVU,  Avu Avu,-9.867,160.4
AVV,Melbourne Avalon Airport,-38.0394,144.4694
AWB,  Awaba,-8,142.75
AWD,Aniwa                                   ,-19.24,169.605
AWK,WAKE ISLAND AAF,19.2819,166.6386
AWZ,Ahwaz,31.3375,48.7603
AXA,Anguilla,18.2047,-63.0539
AXD,Alexandroupolis                         ,40.8558,25.9561
AXK,Ataq,14.5333,46.8167
AXM,Armenia                                 ,4.4533,-75.7658
AXN,ALEXANDRIA/CHANDLER FIELD,45.8663,-95.3947
AXP,Spring Point,22.4418,-73.9709
AXR,Arutua                                  ,-15.2464,-146.6203
AXT,Akita,39.6156,140.2185
AXU,Axum                                    ,14.1371,38.7761
AYK,ARKALYK,50.325,66.96
AYP,Ayacucho                                ,-13.1511,-74.2017
AYQ,Ayers Rock,-25.1867,130.975
AYR,AYR,-19.5958,147.3258
AYS,WAYCROSS WARE CO,31.2491,-82.3955
AYT,Antalya                                 ,36.9008,30.7947
AZA,Phoenix Williams Gateway Airport,33.3078,-111.6555
AZD,Yazd                                    ,31.9061,54.2764
