code|code_type|name|latitude|longitude
AAA|iata|Anaa|-17.3542|-145.4961
AAC|iata|EL-ARISH|31.0733|33.8358
AAE|iata|Annaba|36.8222|7.8094
AAF|iata|APALACHICOLA MUNI AIRPORT|29.7275|-85.0274
AAG|iata|ARAPOTI|-24.1036|-49.79
AAL|iata|Aalborg Airport|57.0928|9.8492
AAM|iata|Mala Mala|-24.8181|31.5446
AAN|iata|Al Ain|24.2617|55.6092
AAQ|iata|Anapa|45.0017|37.3483
AAR|iata|Aarhus Tirstrup Airport|56.3|10.619
AAT|iata|Altay|47.72|88.15
AAX|iata|Araxa|-19.5603|-46.9653
AAY|iata|Al Ghaydah|16.1917|52.175
ABA|iata|Abakan|53.7417|91.385
ABB|iata|Asaba|6.1978|6.7285
ABC|iata|Albacete|38.948|-1.863
ABD|iata|Abadan|30.3667|48.2333
ABE|iata|Allentown/Bethlehem/Easton|40.6521|-75.4408
ABH|iata|ALPHA|-23.6583|146.5917
ABI|iata|Abilene Regional Apt|32.4113|-99.6819
ABJ|iata|Abidjan|5.2544|-3.9286
ABK|iata|Kebri Dehar|6.734|44.253
ABL|iata|Ambler|67.1063|-157.8575
ABM|iata|Bamaga|-10.95|142.46
ABQ|iata|Albuquerque|35.0402|-106.6092
ABR|iata|Aberdeen|45.449|-98.4218
ABS|iata|Abu Simbel|22.3758|31.6117
ABT|iata|Al Baha|20.2961|41.6342
ABV|iata|Abuja|9.0069|7.2631
ABX|iata|Albury|-36.0689|146.9564
ABY|iata|Albany Dougherty County Apt|31.5369|-84.1945
ABZ|iata|Aberdeen|57.2019|-2.1978
ACA|iata|Acapulco|16.7571|-99.7538
ACC|iata|Accra|5.5964|-0.17
ACE|iata|Lanzarote|28.9455|-13.6052
ACH|iata|Altenrhein|47.485|9.5619
ACI|iata|Alderney|49.7061|-2.2147
ACK|iata|Nantucket|41.2531|-70.0602
ACP|iata|Maragheh|37.7333|46.45
ACR|iata|Araracuara|0.6007|-72.398
ACT|iata|Waco Municipal Apt|31.6113|-97.2305
ACU|iata|Achutupo|9.183|-78.017
ACV|iata|Arcata/Eureka|40.9781|-124.1086
ACX|iata|Xingyi|25.05|104.9833
ACY|iata|Atlantic City International|39.4576|-74.5772
ACZ|iata|Zabol|31.0983|61.5439
ADA|iata|Adana|36.9825|35.2831
ADB|iata|Izmir Adnan Menderes Apt|38.2892|27.155
ADD|iata|Addis Ababa|8.975|38.7994
ADE|iata|Aden|12.8289|45.0297
ADF|iata|Adiyaman|37.7308|38.4689
ADH|iata|ALDAN|58.6|125.4
ADJ|iata|AMMAN MARKA INTL|31.9727|35.9916
ADK|iata|Adak Island|51.878|-176.646
ADL|iata|Adelaide International|-34.945|138.53
ADP|iata|ANURADHAPURA|8.3|80.4767
ADQ|iata|Kodiak Apt|57.75|-152.4939
ADS|iata|DALLAS/ADDISON|32.9697|-96.8386
ADU|iata|Ardabil|38.3267|48.4242
ADW|iata|ANDREWS AFB|38.8108|-76.867
ADX|iata|LEUCHARS|56.3733|-2.8683
ADZ|iata|San Andres Island|12.5836|-81.7108
AEB|iata|Baise|23.72|106.96
AEG|iata|Aek Godang|1.4001|99.4305
AEH|iata|ABECHE|13.8472|20.8488
AEO|iata|AIOUN-EL-ATROUSS|16.7167|-9.6333
AEP|iata|Buenos Aires Aeroparque J. Newbery|-34.5589|-58.4164
AER|iata|Sochi|43.445|39.9483
AES|iata|Alesund|62.5625|6.1197
AET|iata|Allakaket|66.5518|-152.6222
AEX|iata|Alexandria International Apt|31.3274|-92.5486
AEY|iata|Akureyri|65.6586|-18.0722
AFA|iata|San Rafael|-34.5883|-68.4033
AFB|iata|PAYERNE AFB|46.8433|6.9167
AFL|iata|Alta Floresta|-9.8661|-56.1044
AFS|iata|Zarafshan|41.6133|64.2328
AFT|iata|Afutara|-9.1911|160.9492
AFW|iata|FORT WORTH ALLIANCE|32.9876|-97.3188
AFY|iata|AFYON|38.7339|30.5953
AFZ|iata|Sabzevar|36.1681|57.5953
AGA|iata|Agadir|30.325|-9.4131
AGB|iata|Munich Augsburg Apt|48.4252|10.9318
AGC|iata|PITTSBURH/ALLEGHENY CO|40.3544|-79.9302
AGF|iata|Agen|44.1747|0.5906
